"Data","Valor"
28/09/2014,1192.20
21/09/2014,1214.10
14/09/2014,1215.30
07/09/2014,1229.90
31/08/2014,1265.80
24/08/2014,1285.80
17/08/2014,1278.60
10/08/2014,1304.50
03/08/2014,1308.90
27/07/2014,1293.60
20/07/2014,1303.10
13/07/2014,1309.20
06/07/2014,1337.00
29/06/2014,1320.40
22/06/2014,1319.00
15/06/2014,1316.20
08/06/2014,1273.70
01/06/2014,1252.10
25/05/2014,1245.60
18/05/2014,1291.60
11/05/2014,1293.30
04/05/2014,1287.30
27/04/2014,1302.60
20/04/2014,1300.70
13/04/2014,1293.40
06/04/2014,1318.70
30/03/2014,1303.20
23/03/2014,1293.80
16/03/2014,1336.00
09/03/2014,1379.00
02/03/2014,1338.10
23/02/2014,1321.40
16/02/2014,1323.90
09/02/2014,1319.00
02/02/2014,1263.30
26/01/2014,1240.10
19/01/2014,1264.50
12/01/2014,1251.70
05/01/2014,1246.70
29/12/2013,1238.40
22/12/2013,1216.10
15/12/2013,1205.10
08/12/2013,1235.70
01/12/2013,1230.30
24/11/2013,1250.60
17/11/2013,1244.00
10/11/2013,1287.30
03/11/2013,1284.50
27/10/2013,1313.10
20/10/2013,1352.40
13/10/2013,1314.40
06/10/2013,1268.00
29/09/2013,1309.70
22/09/2013,1338.40
15/09/2013,1332.50
08/09/2013,1308.40
01/09/2013,1386.70
25/08/2013,1396.10
18/08/2013,1395.70
11/08/2013,1371.70
04/08/2013,1312.90
28/07/2013,1310.60
21/07/2013,1321.70
14/07/2013,1293.30
07/07/2013,1277.80
30/06/2013,1212.90
23/06/2013,1223.80
16/06/2013,1291.60
09/06/2013,1387.30
02/06/2013,1383.00
26/05/2013,1392.60
19/05/2013,1386.80
12/05/2013,1364.90
05/05/2013,1436.80
28/04/2013,1464.30
21/04/2013,1453.60
14/04/2013,1395.30
07/04/2013,1501.00
31/03/2013,1575.40
24/03/2013,1594.80
17/03/2013,1606.20
10/03/2013,1592.50
03/03/2013,1576.60
24/02/2013,1571.90
17/02/2013,1572.40
10/02/2013,1608.80
03/02/2013,1666.00
27/01/2013,1669.40
20/01/2013,1656.40
13/01/2013,1686.60
06/01/2013,1660.00
30/12/2012,1648.10
23/12/2012,1654.90
16/12/2012,1659.10
09/12/2012,1695.80
02/12/2012,1704.00
25/11/2012,1710.90
18/11/2012,1751.30
11/11/2012,1714.30
04/11/2012,1730.30
28/10/2012,1674.10
21/10/2012,1710.90
14/10/2012,1722.80
07/10/2012,1758.00
30/09/2012,1778.60
23/09/2012,1771.10
16/09/2012,1775.50
09/09/2012,1769.80
02/09/2012,1737.50
26/08/2012,1684.60
19/08/2012,1669.80
12/08/2012,1616.30
05/08/2012,1619.70
29/07/2012,1606.00
22/07/2012,1617.90
15/07/2012,1582.50
08/07/2012,1591.60
01/07/2012,1578.40
24/06/2012,1603.50
17/06/2012,1566.00
10/06/2012,1627.00
03/06/2012,1590.10
27/05/2012,1620.50
20/05/2012,1568.80
13/05/2012,1591.60
06/05/2012,1583.60
29/04/2012,1644.70
22/04/2012,1664.00
15/04/2012,1642.10
08/04/2012,1659.10
01/04/2012,1628.50
25/03/2012,1669.30
18/03/2012,1662.30
11/03/2012,1655.50
04/03/2012,1710.90
26/02/2012,1708.80
19/02/2012,1775.10
12/02/2012,1724.50
05/02/2012,1723.30
29/01/2012,1737.90
22/01/2012,1731.80
15/01/2012,1663.70
08/01/2012,1630.40
01/01/2012,1616.10
25/12/2011,1565.80
18/12/2011,1604.70
11/12/2011,1595.60
04/12/2011,1712.80
27/11/2011,1747.00
20/11/2011,1685.50
13/11/2011,1724.70
06/11/2011,1787.50
30/10/2011,1755.30
23/10/2011,1746.20
16/10/2011,1635.10
09/10/2011,1681.80
02/10/2011,1634.50
25/09/2011,1620.40
18/09/2011,1637.50
11/09/2011,1812.10
04/09/2011,1856.40
28/08/2011,1873.70
21/08/2011,1794.10
14/08/2011,1848.90
07/08/2011,1740.20
31/07/2011,1648.80
24/07/2011,1628.30
17/07/2011,1601.30
10/07/2011,1589.80
03/07/2011,1541.20
26/06/2011,1482.30
19/06/2011,1500.50
12/06/2011,1538.60
05/06/2011,1528.60
29/05/2011,1541.70
22/05/2011,1536.30
15/05/2011,1508.80
08/05/2011,1493.40
01/05/2011,1491.20
24/04/2011,1556.00
17/04/2011,1503.20
10/04/2011,1485.30
03/04/2011,1473.40
27/03/2011,1428.10
20/03/2011,1426.10
13/03/2011,1415.90
06/03/2011,1421.50
27/02/2011,1428.20
20/02/2011,1408.70
13/02/2011,1388.20
06/02/2011,1359.90
30/01/2011,1348.30
23/01/2011,1340.70
16/01/2011,1341.00
09/01/2011,1360.40
02/01/2011,1368.50
26/12/2010,1421.10
19/12/2010,1380.00
12/12/2010,1378.60
05/12/2010,1384.30
28/11/2010,1405.40
21/11/2010,1362.30
14/11/2010,1352.20
07/11/2010,1365.40
31/10/2010,1397.30
24/10/2010,1357.10
17/10/2010,1324.40
10/10/2010,1371.10
03/10/2010,1344.20
26/09/2010,1316.10
19/09/2010,1296.00
12/09/2010,1275.60
05/09/2010,1244.50
29/08/2010,1249.20
22/08/2010,1236.00
15/08/2010,1227.20
08/08/2010,1214.90
01/08/2010,1203.40
25/07/2010,1181.70
18/07/2010,1187.70
11/07/2010,1188.00
04/07/2010,1209.60
27/06/2010,1207.40
20/06/2010,1255.80
13/06/2010,1257.20
06/06/2010,1228.90
30/05/2010,1216.20
23/05/2010,1212.20
16/05/2010,1175.70
09/05/2010,1227.40
02/05/2010,1210.00
25/04/2010,1180.10
18/04/2010,1153.10
11/04/2010,1136.30
04/04/2010,1161.10
28/03/2010,1125.10
21/03/2010,1104.20
14/03/2010,1107.40
07/03/2010,1101.50
28/02/2010,1134.80
21/02/2010,1118.30
14/02/2010,1121.30
07/02/2010,1089.50
31/01/2010,1052.20
24/01/2010,1083.00
17/01/2010,1089.20
10/01/2010,1130.10
03/01/2010,1138.20
27/12/2009,1095.20
20/12/2009,1104.10
13/12/2009,1110.80
06/12/2009,1119.40
29/11/2009,1168.80
22/11/2009,1174.20
15/11/2009,1146.40
08/11/2009,1116.10
01/11/2009,1095.10
25/10/2009,1039.70
18/10/2009,1055.60
11/10/2009,1050.70
04/10/2009,1047.80
27/09/2009,1003.20
20/09/2009,990.20
13/09/2009,1009.20
06/09/2009,1004.90
30/08/2009,994.90
23/08/2009,957.00
16/08/2009,953.20
09/08/2009,947.00
02/08/2009,957.30
26/07/2009,953.70
19/07/2009,952.80
12/07/2009,937.20
05/07/2009,912.20
28/06/2009,930.70
21/06/2009,940.70
14/06/2009,935.60
07/06/2009,940.10
31/05/2009,961.70
24/05/2009,978.80
17/05/2009,958.50
10/05/2009,930.90
03/05/2009,914.40
26/04/2009,887.60
19/04/2009,913.60
12/04/2009,867.40
05/04/2009,882.20
29/03/2009,895.60
22/03/2009,923.00
15/03/2009,955.80
08/03/2009,929.80
01/03/2009,942.10
22/02/2009,941.50
15/02/2009,1001.80
08/02/2009,941.50
01/02/2009,913.90
25/01/2009,927.30
18/01/2009,895.30
11/01/2009,839.30
04/01/2009,854.30
28/12/2008,878.80
21/12/2008,870.40
14/12/2008,836.40
07/12/2008,818.90
30/11/2008,750.50
23/11/2008,816.20
16/11/2008,791.70
09/11/2008,742.40
02/11/2008,733.20
26/10/2008,716.80
19/10/2008,729.10
12/10/2008,785.10
05/10/2008,855.40
28/09/2008,828.90
21/09/2008,882.90
14/09/2008,860.60
07/09/2008,760.30
31/08/2008,797.60
24/08/2008,829.30
17/08/2008,827.40
10/08/2008,786.00
03/08/2008,857.80
27/07/2008,909.00
20/07/2008,926.60
13/07/2008,957.30
06/07/2008,959.50
29/06/2008,931.90
22/06/2008,929.30
15/06/2008,901.30
08/06/2008,870.30
01/06/2008,895.40
25/05/2008,887.30
18/05/2008,925.60
11/05/2008,899.00
04/05/2008,884.50
27/04/2008,856.10
20/04/2008,887.20
13/04/2008,912.20
06/04/2008,923.60
30/03/2008,909.00
23/03/2008,930.60
16/03/2008,919.60
09/03/2008,998.20
02/03/2008,972.20
24/02/2008,972.10
17/02/2008,944.70
10/02/2008,902.80
03/02/2008,918.40
27/01/2008,908.70
20/01/2008,910.50
13/01/2008,880.80
06/01/2008,896.10
30/12/2007,863.10
23/12/2007,839.60
16/12/2007,811.60
09/12/2007,793.30
02/12/2007,794.40
25/11/2007,782.20
18/11/2007,824.00
11/11/2007,785.70
04/11/2007,832.50
28/10/2007,805.70
21/10/2007,783.90
14/10/2007,764.00
07/10/2007,748.70
30/09/2007,741.30
23/09/2007,742.80
16/09/2007,731.40
09/09/2007,709.60
02/09/2007,700.80
26/08/2007,673.00
19/08/2007,668.00
12/08/2007,656.90
05/08/2007,670.30
29/07/2007,672.50
22/07/2007,660.00
15/07/2007,683.90
08/07/2007,665.80
01/07/2007,652.70
24/06/2007,648.10
17/06/2007,653.50
10/06/2007,654.50
03/06/2007,645.50
27/05/2007,671.20
20/05/2007,655.10
13/05/2007,661.00
06/05/2007,670.60
29/04/2007,687.20
22/04/2007,678.70
15/04/2007,692.00
08/04/2007,685.40
01/04/2007,674.20
25/03/2007,663.00
18/03/2007,656.70
11/03/2007,652.60
04/03/2007,650.00
25/02/2007,641.50
18/02/2007,683.10
11/02/2007,668.80
04/02/2007,667.50
28/01/2007,646.20
21/01/2007,644.50
14/01/2007,635.50
07/01/2007,625.50
31/12/2006,604.90
24/12/2006,635.20
17/12/2006,619.10
10/12/2006,615.00
03/12/2006,626.10
26/11/2006,644.70
19/11/2006,628.70
12/11/2006,621.50
05/11/2006,628.40
29/10/2006,626.90
22/10/2006,598.20
15/10/2006,593.00
08/10/2006,588.80
01/10/2006,572.40
24/09/2006,598.60
17/09/2006,589.40
10/09/2006,576.40
03/09/2006,609.60
27/08/2006,624.40
20/08/2006,622.00
13/08/2006,612.10
06/08/2006,633.50
30/07/2006,644.00
23/07/2006,634.80
16/07/2006,619.60
09/07/2006,666.60
02/07/2006,632.80
25/06/2006,613.50
18/06/2006,584.80
11/06/2006,578.00
04/06/2006,608.20
28/05/2006,635.50
21/05/2006,650.90
14/05/2006,656.70
07/05/2006,710.30
30/04/2006,682.20
23/04/2006,651.80
16/04/2006,632.20
09/04/2006,596.50
02/04/2006,588.40
26/03/2006,581.80
19/03/2006,560.00
12/03/2006,554.10
05/03/2006,539.90
26/02/2006,566.00
19/02/2006,558.80
12/02/2006,551.80
05/02/2006,550.20
29/01/2006,567.40
22/01/2006,558.70
15/01/2006,553.50
08/01/2006,556.10
01/01/2006,539.70
25/12/2005,517.10
18/12/2005,503.00
11/12/2005,503.40
04/12/2005,527.00
27/11/2005,503.30
20/11/2005,492.10
13/11/2005,485.60
06/11/2005,468.30
30/10/2005,456.30
23/10/2005,473.00
16/10/2005,467.00
09/10/2005,469.20
02/10/2005,474.70
25/09/2005,469.00
18/09/2005,463.50
11/09/2005,459.50
04/09/2005,449.00
28/08/2005,444.20
21/08/2005,437.40
14/08/2005,437.20
07/08/2005,445.90
31/07/2005,437.20
24/07/2005,429.90
17/07/2005,424.70
10/07/2005,420.70
03/07/2005,422.90
26/06/2005,427.80
19/06/2005,440.50
12/06/2005,438.30
05/06/2005,427.40
29/05/2005,423.70
22/05/2005,419.80
15/05/2005,417.40
08/05/2005,420.20
01/05/2005,426.10
24/04/2005,435.00
17/04/2005,434.30
10/04/2005,424.90
03/04/2005,426.90
27/03/2005,425.90
20/03/2005,424.70
13/03/2005,439.30
06/03/2005,446.20
27/02/2005,434.20
20/02/2005,434.90
13/02/2005,427.10
06/02/2005,420.50
30/01/2005,414.00
23/01/2005,425.80
16/01/2005,426.70
09/01/2005,422.70
02/01/2005,418.90
26/12/2004,437.50
19/12/2004,441.90
12/12/2004,441.60
05/12/2004,433.90
28/11/2004,456.00
21/11/2004,449.30
14/11/2004,446.80
07/11/2004,437.90
31/10/2004,433.60
24/10/2004,428.50
17/10/2004,424.60
10/10/2004,418.70
03/10/2004,423.10
26/09/2004,419.50
19/09/2004,408.10
12/09/2004,405.80
05/09/2004,401.90
29/08/2004,400.50
22/08/2004,403.30
15/08/2004,413.20
08/08/2004,398.90
01/08/2004,399.80
25/07/2004,391.00
18/07/2004,390.50
11/07/2004,406.60
04/07/2004,407.50
27/06/2004,398.30
20/06/2004,402.90
13/06/2004,395.10
06/06/2004,385.90
30/05/2004,390.90
23/05/2004,394.00
16/05/2004,384.80
09/05/2004,377.00
02/05/2004,378.70
25/04/2004,387.00
18/04/2004,395.10
11/04/2004,401.00
04/04/2004,419.90
28/03/2004,421.60
21/03/2004,422.10
14/03/2004,412.50
07/03/2004,395.30
29/02/2004,401.30
22/02/2004,396.40
15/02/2004,397.50
08/02/2004,410.30
01/02/2004,403.60
25/01/2004,402.20
18/01/2004,407.90
11/01/2004,406.70
04/01/2004,426.40
28/12/2003,415.70
21/12/2003,412.30
14/12/2003,409.20
07/12/2003,409.40
30/11/2003,406.40
23/11/2003,396.80
16/11/2003,396.00
09/11/2003,397.80
